Platform,,Meta,Meta,Meta,Meta,Meta,Meta,LMS,FFH Sheet,FFH Sheet,Fornula,Fornula,FFH Sheet,Formula,Formula,Formula,Formula,FFH Sheet
Platform,Type,Account,Date,Campaign,Ad Name,Spends,Pannel_Lead,Lead_LMS,FFH,Adm,CPL Pannel,CPL LMS,Invoicing_Var,CAC FFH,CAC Adm,CAC / ARPU,Lead Dup,Total_Var
Meta Ads,,FaceBook_University_Admit,2025-12-06,Galgotias_University_2026_AU,Galgotias_University_2026_AU_A02,238.61,9,7,0,0,27,34,0,-,-,-,22%,0
Meta Ads,,FaceBook_University_Admit,2025-12-06,IGNOU_MBA_27th _Aug,IGNOU_MBA - v2Ad2,294.02,6,6,0,0,49,49,0,-,-,-,0%,0
Meta Ads,,FaceBook_University_Admit,2025-12-06,IGNOU_MBA_27th _Aug,IGNOU_MBA_27thAug_V2,131.35,4,3,0,0,33,44,0,-,-,-,25%,0
Meta Ads,,FaceBook_University_Admit,2025-12-06,NMIMS_University_MBA_AU,NMIMS_University_MBA_AU_A01,5.52,0,0,0,0,6,6,0,-,-,-,0%,0
Meta Ads,,FaceBook_University_Admit,2025-12-06,NMIMS_University_MBA_AU,NMIMS_University_MBA_AU_A02,174.01,1,1,0,0,174,174,0,-,-,-,0%,0
Meta Ads,,FaceBook_University_Admit,2025-12-06,Online_UG_PG_Degree_Admission,Online_UG_PG_Online_Admission,301.71,10,9,0,0,30,34,0,-,-,-,10%,0
Meta Ads,,FaceBook_University_Admit,2025-12-07,Galgotias_University_2026_AU,Galgotias_University_2026_AU_A02,379.54,10,10,0,0,38,38,0,-,-,-,0%,0
Meta Ads,,FaceBook_University_Admit,2025-12-07,IGNOU_MBA_27th _Aug,IGNOU_MBA - v2Ad2,421.61,7,7,0,0,60,60,0,-,-,-,0%,0
Meta Ads,,FaceBook_University_Admit,2025-12-07,IGNOU_MBA_27th _Aug,IGNOU_MBA_27thAug_V2,232.02,4,3,0,0,58,77,0,-,-,-,25%,0
Meta Ads,,FaceBook_University_Admit,2025-12-07,NMIMS_University_MBA_AU,NMIMS_University_MBA_AU_A01,1.28,0,0,0,0,1,1,0,-,-,-,0%,0
Meta Ads,,FaceBook_University_Admit,2025-12-07,NMIMS_University_MBA_AU,NMIMS_University_MBA_AU_A02,334.28,1,0,0,0,334,334,0,-,-,-,100%,0
Meta Ads,,FaceBook_University_Admit,2025-12-07,Online_UG_PG_Degree_Admission,Online_UG_PG_Online_Admission,550.07,15,11,0,0,37,50,0,-,-,-,27%,0
Meta Ads,,FaceBook_University_Admit,2025-12-08,Galgotias_University_2026_AU,Galgotias_University_2026_AU_A02,413.83,16,16,0,0,26,26,0,-,-,-,0%,0
Meta Ads,,FaceBook_University_Admit,2025-12-08,IGNOU_MBA_27th _Aug,IGNOU_MBA - v2Ad2,419.7,5,5,0,0,84,84,0,-,-,-,0%,0
Meta Ads,,FaceBook_University_Admit,2025-12-08,IGNOU_MBA_27th _Aug,IGNOU_MBA_27thAug_V2,228.57,2,2,0,0,114,114,0,-,-,-,0%,0
Meta Ads,,FaceBook_University_Admit,2025-12-08,NMIMS_University_MBA_AU,NMIMS_University_MBA_AU_A01,24.68,0,0,0,0,25,25,0,-,-,-,0%,0
