Platform,Platform Type,Account,Date,Campaign,Ad Name,Spends,Pannel_Lead,LMS Leads
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-07,ONLINE_MBA_SF_ASH_3,ONLINE_MBA_SF_ASH_3_CR1,14.39,3,1
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-07,ONLINE_MBA_SF_ASH_3,ONLINE_MBA_SF_ASH_3_CR2,42.53,0,0
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-07,CU_ONLINE_UG&PG_ASH_4,CU_ONLINE_UG&PG_ASH_4_CR1,68.96,0,0
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-07,CU_ONLINE_UG&PG_ASH_4,CU_ONLINE_UG&PG_ASH_4_CR2,68.7,0,0
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-07,Manipal_Online_UG&PG_SF,Manipal_Online_UG&PG_SF_CR1,101.14,3,2
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-07,AMITY_ONLINE_UG&PG_ASH_5,AMITY_ONLINE_UG&PG_ASH_5_CR1,60.31,0,0
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-07,AMITY_ONLINE_UG&PG_ASH_5,AMITY_ONLINE_UG&PG_ASH_5_CR2,115.9,3,3
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-07,Shoolini_Online_UG&PG_SF,Shoolini_Online_UG&PG_SF_CR1,20.54,0,0
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-07,Manipal_Online_UG&PG_SF,Manipal_Online_UG&PG_SF_CR2,41.45,0,0
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-07,Shoolini_Online_UG&PG_SF,Shoolini_Online_UG&PG_SF_CR2,87.82,0,0
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-07,Shoolini_Online_UG&PG_IF,Shoolini_Online_UG&PG_IF_CR2,107.7,2,3
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-07,AMITY_ONLINE_UG&PG_IF,AMITY_ONLINE_UG&PG_IF_CR1,33.8,0,0
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-07,AMITY_ONLINE_UG&PG_IF,AMITY_ONLINE_UG&PG_IF_CR2,13.73,1,0
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-07,ONLINE_MBA_IF,ONLINE_MBA_IF_3_CR1,149.85,4,3
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-07,ONLINE_MBA_IF,ONLINE_MBA_IF_3_CR2,94.79,0,0
Meta,Lead Gen,FaceBook_University_Admit,2026-05-05,F_UA01_{UG All Colleges V03.1},F_UA01_{UG All Colleges 3.1} {INT 01} {C1.3},1198.5,17,24
Meta,Lead Gen,FaceBook_University_Admit,2026-05-05,F_UA1_FEB_MBA_Aryan v1.4,F_UA1_FEB_MBA_Aryan (INT 01)_ 1.1,2429.25,26,30
Meta,Lead Gen,FaceBook_University_Admit,2026-05-05,UA_MBA_Website_Leads V1,UA_MBA_Website_Leads V1 (INT 01) C01,1015.93,51,27
Meta,Lead Gen,FaceBook_University_Admit,2026-05-05,UA_MBA_Website_Leads V1,UA_MBA_Website_Leads V1 (INT 01) C02,0.05,0,0
Meta,Lead Gen,FaceBook_University_Admit,2026-05-05,UA_MBA_Website_Leads V2,UA_MBA_Website_Leads V2 (INT 01) C01,621.61,3,1
Meta,Lead Gen,FaceBook_University_Admit,2026-05-05,UA_MBA_Website_Leads V3,UA_MBA_Website_Leads V3 (INT 01) C02,41.83,0,0
Meta,Lead Gen,FaceBook_University_Admit,2026-05-05,UA_MBA_Website_Leads V3,UA_MBA_Website_Leads V3 (INT 02) C02,896.56,15,11
Meta,Lead Gen,FaceBook_University_Admit,2026-05-05,UA_MBA_Website_Leads V3,UA_MBA_Website_Leads V3 (INT 03) C01,92.93,0,0
Meta,Lead Gen,FaceBook_University_Admit,2026-05-05,UA_MBA_Website_Leads V4,UA_MBA_Website_Leads V4 (INT 01) C01,47.33,0,0
Meta,Lead Gen,FaceBook_University_Admit,2026-05-05,UA_MBA_Website_Leads V4,UA_MBA_Website_Leads V4 (INT 01) C02,306.24,3,1
Meta,Lead Gen,FaceBook_University_Admit,2026-05-05,UA_MBA_Website_Leads V4,UA_MBA_Website_Leads V4 (INT 01) C03,845.42,9,2
Meta,Lead Gen,FaceBook_University_Admit,2026-05-05,UA_MBA_Website_Leads V4,UA_MBA_Website_Leads V4 (INT 01) C04,352.68,0,0
Meta,Lead Gen,FaceBook_University_Admit,2026-05-06,F_UA01_{UG All Colleges V03.1},F_UA01_{UG All Colleges 3.1} {INT 01} {C1.3},1107.78,9,14
Meta,Lead Gen,FaceBook_University_Admit,2026-05-06,F_UA1_FEB_MBA_Aryan v1.4,F_UA1_FEB_MBA_Aryan (INT 01)_ 1.1,2381.03,25,27
Meta,Lead Gen,FaceBook_University_Admit,2026-05-06,F_UA1_FEB_MBA_Aryan_April_ V2,F_UA1_FEB_MBA_Aryan_April_ V2 (INT01) C02,0.0,3,1
Meta,Lead Gen,FaceBook_University_Admit,2026-05-06,UA_MBA_Website_Leads V1,UA_MBA_Website_Leads V1 (INT 01) C01,1027.86,24,18
Meta,Lead Gen,FaceBook_University_Admit,2026-05-06,UA_MBA_Website_Leads V2,UA_MBA_Website_Leads V2 (INT 01) C01,724.71,3,1
Meta,Lead Gen,FaceBook_University_Admit,2026-05-06,UA_MBA_Website_Leads V3,UA_MBA_Website_Leads V3 (INT 01) C01,3.67,0,0
Meta,Lead Gen,FaceBook_University_Admit,2026-05-06,UA_MBA_Website_Leads V3,UA_MBA_Website_Leads V3 (INT 01) C02,11.69,3,2
Meta,Lead Gen,FaceBook_University_Admit,2026-05-06,UA_MBA_Website_Leads V3,UA_MBA_Website_Leads V3 (INT 02) C02,999.56,30,16
Meta,Lead Gen,FaceBook_University_Admit,2026-05-06,UA_MBA_Website_Leads V3,UA_MBA_Website_Leads V3 (INT 02) C03,0.22,0,0
Meta,Lead Gen,FaceBook_University_Admit,2026-05-06,UA_MBA_Website_Leads V3,UA_MBA_Website_Leads V3 (INT 03) C01,60.3,3,2
Meta,Lead Gen,FaceBook_University_Admit,2026-05-06,UA_MBA_Website_Leads V3,UA_MBA_Website_Leads V3 (INT 03) C03,0.04,0,0
Meta,Lead Gen,FaceBook_University_Admit,2026-05-06,UA_MBA_Website_Leads V4,UA_MBA_Website_Leads V4 (INT 01) C02,0.07,3,1
Meta,Lead Gen,FaceBook_University_Admit,2026-05-06,UA_MBA_Website_Leads V4,UA_MBA_Website_Leads V4 (INT 01) C03,1317.13,33,9
Meta,Lead Gen,FaceBook_University_Admit,2026-05-07,F_UA01_{UG All Colleges V03.1},F_UA01_{UG All Colleges 3.1} {INT 01} {C1.3},1074.67,19,21
Meta,Lead Gen,FaceBook_University_Admit,2026-05-07,F_UA1_FEB_MBA_Aryan v1.4,F_UA1_FEB_MBA_Aryan (INT 01)_ 1.1,2349.23,29,31
Meta,Lead Gen,FaceBook_University_Admit,2026-05-07,F_UA1_FEB_MBA_Aryan v1.4,F_UA1_FEB_MBA_Aryan (INT 01)_ 1.4,0.3,0,0
Meta,Lead Gen,FaceBook_University_Admit,2026-05-07,UA_MBA_Website_Leads V1,UA_MBA_Website_Leads V1 (INT 01) C01,822.76,21,19
Meta,Lead Gen,FaceBook_University_Admit,2026-05-07,UA_MBA_Website_Leads V2,UA_MBA_Website_Leads V2 (INT 01) C01,656.9,0,0
Meta,Lead Gen,FaceBook_University_Admit,2026-05-07,UA_MBA_Website_Leads V3,UA_MBA_Website_Leads V3 (INT 01) C02,20.63,0,0
Meta,Lead Gen,FaceBook_University_Admit,2026-05-07,UA_MBA_Website_Leads V3,UA_MBA_Website_Leads V3 (INT 01) C03,1.97,0,0
Meta,Lead Gen,FaceBook_University_Admit,2026-05-07,UA_MBA_Website_Leads V3,UA_MBA_Website_Leads V3 (INT 02) C02,851.01,15,11
Meta,Lead Gen,FaceBook_University_Admit,2026-05-07,UA_MBA_Website_Leads V3,UA_MBA_Website_Leads V3 (INT 02) C03,11.52,0,0
Meta,Lead Gen,FaceBook_University_Admit,2026-05-07,UA_MBA_Website_Leads V3,UA_MBA_Website_Leads V3 (INT 03) C01,31.51,3,1
Meta,Lead Gen,FaceBook_University_Admit,2026-05-07,UA_MBA_Website_Leads V3,UA_MBA_Website_Leads V3 (INT 03) C02,4.29,0,0
Meta,Lead Gen,FaceBook_University_Admit,2026-05-07,UA_MBA_Website_Leads V4,UA_MBA_Website_Leads V4 (INT 01) C01,3.59,0,0
Meta,Lead Gen,FaceBook_University_Admit,2026-05-07,UA_MBA_Website_Leads V4,UA_MBA_Website_Leads V4 (INT 01) C02,0.21,0,0
Meta,Lead Gen,FaceBook_University_Admit,2026-05-07,UA_MBA_Website_Leads V4,UA_MBA_Website_Leads V4 (INT 01) C03,779.57,24,11
Meta,Lead Gen,FaceBook_University_Admit,2026-05-07,UA_MBA_Website_Leads V4,UA_MBA_Website_Leads V4 (INT 01) C04,27.48,0,0
