Date,Account,Ad Name,Meta Spend,Sheet Spend,Meta Panel,Sheet Panel,LMS Actual,Sheet LMS,Status
2026-05-02,Degreefyd_B,CU_Mohali_Int_ADG1_Ad02,81.08,81.08,3,1.0,0,0.0,DISCREPANCY
2026-05-02,Degreefyd_B,CU_Mohali_Int_ADG1_Ad01,244.01,244.01,3,1.0,0,0.0,DISCREPANCY
2026-05-02,Degreefyd_B,CU_Mohali_Rem_ADG1_Ad01,205.9,205.9,5,5.0,0,5.0,MATCH
2026-05-02,DegreeFYD,LPU_Nest_April_Ad1,0.0,0.0,0,0.0,0,0.0,MISSING
2026-05-02,DegreeFYD,Ignou_Online_MBA_SF_Ad1,223.16,223.16,3,1.0,0,0.0,DISCREPANCY
2026-05-02,DegreeFYD,IGNOU_ONLINE_Degree_CR1,394.74,394.74,15,5.0,0,3.0,DISCREPANCY
2026-05-02,DegreeFYD,Online_MBA_SF_G1_CR1,2.9,2.9,6,2.0,0,0.0,DISCREPANCY
2026-05-02,DegreeFYD,Online_MBA_SF_G1_CR2,107.87,107.87,0,0.0,0,0.0,MATCH
2026-05-02,DegreeFYD,CGC_Landran_UG&PG_CR1,269.52,269.52,3,1.0,0,0.0,DISCREPANCY
2026-05-02,DegreeFYD,CGC_BTECH_REGU_SF_CR1,36.0,36.0,0,0.0,0,0.0,MATCH
2026-05-02,DegreeFYD,CGC_BTECH_REGU_SF_CR2,297.2,297.2,3,1.0,0,1.0,DISCREPANCY
2026-05-02,DegreeFYD,CGC_BTECH_REGU_Rem_SF_AD_01,274.16,274.16,0,0.0,0,2.0,MATCH
2026-05-02,DegreeFYD,CGC_Landran_UG&PG_SF_CR2,147.53,147.53,0,0.0,0,0.0,MATCH
2026-05-03,Degreefyd_B,Galgotias_Leads_2026_P_Ad_01,1332.58,1332.35,27,27.0,0,23.0,MATCH
2026-05-03,Degreefyd_B,IGNOU_Online_Courses_Admission_DFYD_Delhi_NCR_Ad01,671.46,671.18,16,16.0,0,15.0,MATCH
2026-05-03,Degreefyd_B,IGNOU_Online_Courses_Admission_DFYD_Rest_Ad01,366.65,366.42,24,22.0,0,21.0,DISCREPANCY
2026-05-03,Degreefyd_B,CU_Lucknow_Rem_Ad01,480.46,480.43,7,7.0,0,6.0,MATCH
2026-05-03,Degreefyd_B,CU_Lucknow_Int_ADG1_Ad02,11.4,11.4,1,1.0,0,1.0,MATCH
2026-05-03,Degreefyd_B,CU_Lucknow_Int_ADG1_Ad01,431.74,431.68,4,4.0,0,4.0,MATCH
2026-05-03,Degreefyd_B,UG_Online_Admission_SF_Ad_Set01_Ad01,42.95,42.95,0,0.0,0,3.0,MATCH
2026-05-03,Degreefyd_B,UG_Online_Admission_SF_Ad_Set01_Ad02,357.66,357.66,3,1.0,0,3.0,DISCREPANCY
2026-05-03,Degreefyd_B,CU_Mohali_Int_ADG1_Ad02,34.48,34.48,0,0.0,0,0.0,MATCH
2026-05-03,Degreefyd_B,CU_Mohali_Int_ADG1_Ad01,272.74,272.6,6,4.0,0,3.0,DISCREPANCY
2026-05-03,Degreefyd_B,CU_Mohali_Rem_ADG1_Ad01,222.35,222.35,3,3.0,0,3.0,MATCH
2026-05-03,Degreefyd_B,CU_Mohali_Rem_ADG1_Ad02,5.14,5.14,0,0.0,0,0.0,MATCH
2026-05-03,DegreeFYD,Ignou_Online_MBA_SF_Ad1,406.32,406.32,12,4.0,0,0.0,DISCREPANCY
2026-05-03,DegreeFYD,IGNOU_ONLINE_Degree_CR1,641.84,641.68,27,9.0,0,11.0,DISCREPANCY
2026-05-03,DegreeFYD,Online_MBA_SF_G1_CR1,67.85,67.85,3,1.0,0,0.0,DISCREPANCY
2026-05-03,DegreeFYD,Online_MBA_SF_G1_CR2,210.33,210.33,0,0.0,0,0.0,MATCH
2026-05-03,DegreeFYD,CGC_Landran_UG&PG_CR1,39.28,39.28,0,0.0,0,0.0,MATCH
2026-05-03,DegreeFYD,CGC_BTECH_REGU_SF_CR2,369.1,369.02,3,1.0,0,2.0,DISCREPANCY
2026-05-03,DegreeFYD,CGC_BTECH_REGU_Rem_SF_AD_01,420.56,419.23,3,1.0,0,1.0,DISCREPANCY
2026-05-03,DegreeFYD,CGC_Landran_UG&PG_SF_CR2,524.49,524.49,3,1.0,0,0.0,DISCREPANCY
2026-05-04,Degreefyd_B,Galgotias_Leads_2026_P_Ad_01,1810.03,1809.95,38,32.0,0,28.0,DISCREPANCY
2026-05-04,Degreefyd_B,IGNOU_Online_Courses_Admission_DFYD_Delhi_NCR_Ad01,960.27,958.34,29,29.0,0,26.0,DISCREPANCY
2026-05-04,Degreefyd_B,IGNOU_Online_Courses_Admission_DFYD_Rest_Ad01,543.03,541.42,26,24.0,0,23.0,DISCREPANCY
2026-05-04,Degreefyd_B,CU_Lucknow_Rem_Ad01,664.34,662.33,6,4.0,0,3.0,DISCREPANCY
