Platform,Meta,Meta,Meta,Meta,Meta,Meta,LMS,FFH Sheet,FFH Sheet,Fornula,Fornula,FFH Sheet,Formula,Formula,Formula,Formula
Platform,Account,Date,Campaign,Ad Name,Spends,Pannel_Lead,Lead_LMS,FFH,Adm,CPL Pannel,CPL LMS,Invoicing_Var,CAC FFH,CAC Adm,CAC / ARPU,Lead Dup
Google Ads,EP_CU_Online_DFYD,2026-01-27,CU_Online_Admission,23470383548,510.04,2,2,0,0,255,255,0,-,-,-,0%
Google Ads,Degreefyd,2026-01-27,LPU_Online_2,22187016189,1683.71,8,9,1,1,210,187,17500,1683.71,1683.71,9.62%,-13%
Google Ads,Degreefyd,2026-01-27,CU_Online,22241388890,1401.18,3,3,0,0,467,467,0,-,-,-,0%
Google Ads,Degreefyd_Generic_Regular,2026-01-28,DSA_Punjab_Generic_Admission_Colleges,23463111599,731.02,15,14,2,0,49,52,0,365.51,-,-,7%
Google Ads,EP_Partner_LPU_Online_DFYD,2026-01-28,LPU_Online_Alpha,23486436393,675.51,3,3,0,0,225,225,0,-,-,-,0%
Google Ads,EP_Partner_LPU_Online_DFYD,2026-01-28,LPU_Online_Gamma,23486463996,470.16,2,2,0,0,235,235,0,-,-,-,0%
Google Ads,EP_CU_Online_DFYD,2026-01-28,CU_Online_Admission,23470383548,544.85,2,2,1,1,272,272,8400,544.85,544.85,6.49%,0%
Google Ads,Degreefyd,2026-01-28,LPU_Online_2,22187016189,1528.65,12,12,4,0,127,127,0,382.1625,-,-,0%
Google Ads,Degreefyd,2026-01-28,CU_Online,22241388890,1152.3,3,2,0,0,384,576,0,-,-,-,33%
Google Ads,Degreefyd_Generic_Regular,2026-01-29,DSA_Punjab_Generic_Admission_Colleges,23463111599,729.86,17,16,2,2,43,46,22848,364.93,364.93,3.19%,6%
Google Ads,EP_Partner_LPU_Online_DFYD,2026-01-29,LPU_Online_Alpha,23486436393,679.72,6,6,0,0,113,113,0,-,-,-,0%
Google Ads,EP_Partner_LPU_Online_DFYD,2026-01-29,LPU_Online_Gamma,23486463996,459.6,4,5,1,0,115,92,0,459.6,-,-,-25%
Google Ads,EP_CU_Online_DFYD,2026-01-29,CU_Online_Admission,23470383548,677.23,3,4,1,0,226,169,0,677.23,-,-,-33%
Google Ads,Degreefyd,2026-01-29,LPU_Online_2,22187016189,1465.68,6,5,0,0,244,293,0,-,-,-,17%
Google Ads,Degreefyd,2026-01-29,CU_Online,22241388890,862.16,4,4,2,0,216,216,0,431.08,-,-,0%
Google Ads,Degreefyd_Generic_Regular,2026-01-30,DSA_Punjab_Generic_Admission_Colleges,23463111599,730.62,20,18,1,1,37,41,9408,730.62,730.62,7.77%,10%
Google Ads,EP_CU_Online_DFYD,2026-01-30,CU_Online_Admission,23470383548,1251.88,3,3,0,0,417,417,0,-,-,-,0%
Google Ads,EP_Partner_LPU_Online_DFYD,2026-01-30,LPU_Online_Alpha,23486436393,701.03,6,6,2,1,117,117,17500,350.515,701.03,4.01%,0%
Google Ads,EP_Partner_LPU_Online_DFYD,2026-01-30,LPU_Online_Gamma,23486463996,470.69,1,1,1,1,471,471,9660,470.69,470.69,4.87%,0%
Google Ads,Degreefyd,2026-01-30,LPU_Online_2,22187016189,1410.8,6,6,1,0,235,235,0,1410.8,-,-,0%
Google Ads,Degreefyd,2026-01-30,CU_Online,22241388890,881.07,3,3,0,0,294,294,0,-,-,-,0%
Google Ads,Degreefyd_Generic_Regular,2026-01-31,DSA_Punjab_Generic_Admission_Colleges,23463111599,729.41,19,16,2,2,38,46,23142,364.705,364.705,3.15%,16%
Google Ads,EP_CU_Online_DFYD,2026-01-31,CU_Online_Admission,23470383548,1802.6,5,5,0,0,361,361,0,-,-,-,0%
Google Ads,EP_Partner_LPU_Online_DFYD,2026-01-31,LPU_Online_Alpha,23486436393,605.79,5,5,0,0,121,121,0,-,-,-,0%
Google Ads,EP_Partner_LPU_Online_DFYD,2026-01-31,LPU_Online_Gamma,23486463996,412.2,1,2,0,0,412,206,0,-,-,-,-100%
Google Ads,Degreefyd_Generic_Regular,2026-02-01,DSA_Punjab_Generic_Admission_Colleges,23463111599,1011.44,20,17,0,0,51,59,0,-,-,-,15%
Google Ads,EP_CU_Online_DFYD,2026-02-01,CU_Online_Admission,23470383548,1198.29,1,1,0,0,1198,1198,0,-,-,-,0%
Google Ads,EP_Partner_LPU_Online_DFYD,2026-02-01,LPU_Online_Alpha,23486436393,819.36,2,2,1,0,410,410,0,819.36,-,-,0%
Google Ads,EP_Partner_LPU_Online_DFYD,2026-02-01,LPU_Online_Gamma,23486463996,525.18,4,4,0,0,131,131,0,-,-,-,0%
Google Ads,Degreefyd,2026-01-31,LPU_Online_2,22187016189,1337.04,10,9,2,3,134,149,50582,668.52,445.68,2.64%,10%
Google Ads,Degreefyd,2026-01-31,CU_Online,22241388890,750.21,3,2,0,0,250,375,0,-,-,-,33%
Google Ads,Degreefyd,2026-02-01,LPU_Online_2,22187016189,1163.79,5,5,1,0,233,233,0,1163.79,-,-,0%
Google Ads,Degreefyd,2026-02-01,CU_Online,22241388890,750.51,1,1,0,0,751,751,0,-,-,-,0%
Google Ads,Degreefyd_Generic_Regular,2026-02-02,DSA_Punjab_Generic_Admission_Colleges,23463111599,1233.98,11,10,1,0,112,123,0,1233.98,-,-,9%
Google Ads,EP_CU_Online_DFYD,2026-02-02,CU_Online_Admission,23470383548,1028.54,3,2,0,0,343,514,0,-,-,-,33%
Google Ads,EP_Partner_LPU_Online_DFYD,2026-02-02,LPU_Online_Alpha,23486436393,776.78,5,5,1,1,155,155,17500,776.78,776.78,4.44%,0%
Google Ads,EP_Partner_LPU_Online_DFYD,2026-02-02,LPU_Online_Gamma,23486463996,758.07,1,1,0,0,758,758,0,-,-,-,0%
Google Ads,Degreefyd_Generic_Regular,2026-02-03,DSA_Punjab_Generic_Admission_Colleges,23463111599,1134.71,18,16,1,0,63,71,0,1134.71,-,-,11%
Google Ads,EP_CU_Online_DFYD,2026-02-03,CU_Online_Admission,23470383548,769.47,4,4,2,1,192,192,7140,384.735,769.47,10.78%,0%
Google Ads,EP_Partner_LPU_Online_DFYD,2026-02-03,LPU_Online_Alpha,23486436393,554.9,3,3,0,0,185,185,0,-,-,-,0%
Google Ads,EP_Partner_LPU_Online_DFYD,2026-02-03,LPU_Online_Gamma,23486463996,522.78,2,2,1,1,261,261,17500,522.78,522.78,2.99%,0%
Google Ads,EP_CU_Online_DFYD,2026-02-04,CU_Online_Admission,23470383548,891.44,6,7,0,0,149,127,0,-,-,-,-17%
Google Ads,EP_Partner_LPU_Online_DFYD,2026-02-04,LPU_Online_Alpha,23486436393,1171.93,4,4,0,0,293,293,0,-,-,-,0%
Google Ads,EP_Partner_LPU_Online_DFYD,2026-02-04,LPU_Online_Gamma,23486463996,709.02,3,3,1,0,236,236,0,709.02,-,-,0%
Google Ads,Degreefyd_Generic_Regular,2026-02-04,DSA_Punjab_Generic_Admission_Colleges,23463111599,872.78,20.33,19,1,0,43,46,0,872.78,-,-,7%
Google Ads,Degreefyd_Generic_Regular,2026-02-05,DSA_Punjab_Generic_Admission_Colleges,23463111599,759.51,8,8,0,0,95,95,0,-,-,-,0%
Google Ads,EP_CU_Online_DFYD,2026-02-05,CU_Online_Admission,23470383548,747.45,3,4,1,1,249,187,7392,747.45,747.45,10.11%,-33%
Google Ads,EP_Partner_LPU_Online_DFYD,2026-02-05,LPU_Online_Alpha,23486436393,1068.11,9,9,2,2,119,119,35000,534.055,534.055,3.05%,0%
Google Ads,EP_Partner_LPU_Online_DFYD,2026-02-05,LPU_Online_Gamma,23486463996,929.23,4,4,1,0,232,232,0,929.23,-,-,0%
Google Ads,Degreefyd_Generic_Regular,2026-02-06,DSA_Punjab_Generic_Admission_Colleges,23463111599,713.79,18,18,1,0,40,40,0,713.79,-,-,0%
Google Ads,EP_CU_Online_DFYD,2026-02-06,CU_Online_Admission,23470383548,977.59,3,3,0,0,326,326,0,-,-,-,0%
Google Ads,EP_Partner_LPU_Online_DFYD,2026-02-06,LPU_Online_Alpha,23486436393,1080.56,5,5,1,0,216,216,0,1080.56,-,-,0%
Google Ads,EP_Partner_LPU_Online_DFYD,2026-02-06,LPU_Online_Gamma,23486463996,538.35,5.17,3,0,0,104,179,0,-,-,-,42%
Google Ads,Degreefyd_Generic_Regular,2026-02-07,DSA_Punjab_Generic_Admission_Colleges,23463111599,847.42,18,15,0,0,47,56,0,-,-,-,17%
Google Ads,EP_CU_Online_DFYD,2026-02-07,CU_Online_Admission,23470383548,1171.43,6,4,1,0,195,293,0,1171.43,-,-,33%
Google Ads,EP_Partner_LPU_Online_DFYD,2026-02-07,LPU_Online_Alpha,23486436393,1132.71,4,4,0,0,283,283,0,-,-,-,0%
Google Ads,EP_Partner_LPU_Online_DFYD,2026-02-07,LPU_Online_Gamma,23486463996,1035.87,3,3,1,0,345,345,0,1035.87,-,-,0%
Google Ads,Degreefyd_Generic_Regular,2026-02-08,DSA_Punjab_Generic_Admission_Colleges,23463111599,1061.46,25,24,2,1,42,44,12516,530.73,1061.46,8.48%,4%
Google Ads,EP_CU_Online_DFYD,2026-02-08,CU_Online_Admission,23470383548,1988.03,7,8,1,0,284,249,0,1988.03,-,-,-14%
Google Ads,EP_Partner_LPU_Online_DFYD,2026-02-08,LPU_Online_Alpha,23486436393,1993.78,9.33,10,2,0,214,199,0,996.89,-,-,-7%
Google Ads,EP_Partner_LPU_Online_DFYD,2026-02-08,LPU_Online_Gamma,23486463996,2242.25,17.67,16,2,0,127,140,0,1121.125,-,-,9%
Google Ads,Degreefyd_Generic_Regular,2026-02-09,DSA_Punjab_Generic_Admission_Colleges,23463111599,1589.04,18,15,0,0,88,106,0,-,-,-,17%
Google Ads,EP_CU_Online_DFYD,2026-02-09,CU_Online_Admission,23470383548,1495.4,8,10,2,2,187,150,25032,747.7,747.7,5.97%,-25%
Google Ads,EP_Partner_LPU_Online_DFYD,2026-02-09,LPU_Online_Alpha,23486436393,1273.81,6,5,1,1,212,255,17500,1273.81,1273.81,7.28%,17%
Google Ads,EP_Partner_LPU_Online_DFYD,2026-02-09,LPU_Online_Gamma,23486463996,1382,8,8,1,0,173,173,0,1382,-,-,0%
Google Ads,Degreefyd_Generic_Regular,2026-02-10,DSA_Punjab_Generic_Admission_Colleges,23463111599,1382.74,22,22,3,3,63,63,24528,460.9133333,460.9133333,5.64%,0%
Google Ads,EP_CU_Online_DFYD,2026-02-10,CU_Online_Admission,23470383548,1532.05,6,6,1,0,255,255,0,1532.05,-,-,0%
Google Ads,EP_Partner_LPU_Online_DFYD,2026-02-10,LPU_Online_Alpha,23486436393,1099.99,8,8,1,0,137,137,0,1099.99,-,-,0%
Google Ads,EP_Partner_LPU_Online_DFYD,2026-02-10,LPU_Online_Gamma,23486463996,1388.52,7,7,1,0,198,198,0,1388.52,-,-,0%
Google Ads,Degreefyd_Generic_Regular,2026-02-11,DSA_Punjab_Generic_Admission_Colleges,23463111599,1145.37,28,27,1,1,41,42,12264,1145.37,1145.37,9.34%,4%
Google Ads,EP_CU_Online_DFYD,2026-02-11,CU_Online_Admission,23470383548,1212.94,6,6,1,0,202,202,0,1212.94,-,-,0%
Google Ads,EP_Partner_LPU_Online_DFYD,2026-02-11,LPU_Online_Alpha,23486436393,1412.05,7,7,3,2,202,202,35000,470.6833333,706.025,4.03%,0%
Google Ads,EP_Partner_LPU_Online_DFYD,2026-02-11,LPU_Online_Gamma,23486463996,1459.32,5,3,0,0,292,486,0,-,-,-,40%
Google Ads,Degreefyd_Generic_Regular,2026-02-12,DSA_Punjab_Generic_Admission_Colleges,23463111599,1140.07,35.5,32,5,4,32,36,44394.77966,228.014,285.0175,2.57%,10%
